# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-27 16:34:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|1,423|76|221 serious, 69 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml
Guangdong|151|0||http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879455.html
Zhejiang|128|0|18 serious|https://www.zjwjw.gov.cn/art/2020/1/27/art_1202101_41857304.html
Chongqing|110|0|13 serious, 1 critical|http://wsjkw.cq.gov.cn/tzgg/20200127/249875.html
Hunan|100|0|22 serious|http://www.bjnews.com.cn/news/2020/01/27/680091.html
Anhui|70|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|80|1|12 serious, 2 critical|https://m.weibo.cn/status/4465486110924457
Shanghai|53|1|2 critical|https://m.weibo.cn/status/4465258158216535
Henan|128|1|17 serious|https://m.weibo.cn/status/4465260038006999
Sichuan|69|0|3 critical|https://m.weibo.cn/status/4465278295913574
Shandong|75|0||https://m.weibo.cn/status/4465338337115732
Guangxi|46|0|3 serious|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0127/68028.html
Jiangxi|48|0|6 serious|http://hc.jiangxi.gov.cn/doc/2020/01/27/137701.shtml
Fujian|59|0|3 serious, 1 critical|https://mp.weixin.qq.com/s/_bvLKwgVAxWLChb-dciN0w
Jiangsu|47|0|1 serious|https://m.weibo.cn/status/4465265679169440
Hainan|33|1|5 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200127_2741242.html
Liaoning|27|0|14 serious|https://m.weibo.cn/status/4465408070927331
Tianjin|23|0|17 serious|https://m.weibo.cn/detail/4465498383636775
Shaanxi|35|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/27/art_9_67483.html
Yunnan|26|0|1 serious|http://www.bjnews.com.cn/news/2020/01/27/680367.html
Heilongjiang|21|1|3 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7725/navid/42/stypeid/
Guizhou|7|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|6|0||https://m.weibo.cn/status/4465279285636514
Xinjiang|5|0|1 serious|http://www.xjhfpc.gov.cn/info/1495/17361.htm
Ningxia|7|0||http://wsjkw.nx.gov.cn/info/1140/13291.htm
Hebei|18|1||http://www.bjnews.com.cn/news/2020/01/27/680119.html
Gansu|14|0|3 serious|http://www.bjnews.com.cn/news/2020/01/27/680112.html
Shanxi|13|0||http://wjw.shanxi.gov.cn/wjywl02/24356.hrh
Inner Mongolia|11|0||http://wjw.nmg.gov.cn/doc/2020/01/27/285096.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|2,839|82||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|5|0||https://www.cdc.gov.tw/Bulletin/Detail/gOZvd4ZaGpSDVoVRC2Qesg?typeid=9
Macau|6|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452638
GREATER CHINA TOTAL|19|0||
Thailand|8|0||https://www.channelnewsasia.com/news/asia/wuhan-virus-thailand-public-anger-coronavirus-12348838
Singapore|4|0|Stable|https://www.straitstimes.com/singapore/health/singapore-confirms-2-more-wuhan-virus-cases-bringing-total-to-three-infected
France|3|0||https://solidarites-sante.gouv.fr/actualites/presse/communiques-de-presse/article/cp-coronavirus
Malaysia|4|0||https://twitter.com/bernamadotcom/status/1220913295021883392
Japan|4|0||https://www.mhlw.go.jp/stf/newpage_09100.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|5|0||https://twitter.com/7NewsSydney/status/1221654335794237440
Canada|1|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-second-presumptive-case-of-wuhan-novel-coronavirus.html
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
INTERNATIONAL TOTAL|42|0||
