# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-02-3 5:02:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|11,177|350|1,223 serious, 478 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200203_2018272.shtml
Zhejiang|724|0|48 serious, 12 critical|https://www.zjwjw.gov.cn/art/2020/2/3/art_1202101_41869217.html
Guangdong|725|0|58 serious, 22 critical|http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2882427.html
Henan|566|2|30 serious, 14 critical|https://m.weibo.cn/status/4467799441404602
Hunan|521|0|58 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200203_11168209.html
Anhui|408|0|4 critical|http://wjw.ah.gov.cn/news_details_54452.html
Jiangxi|391|0| 34 serious |http://hc.jiangxi.gov.cn/doc/2020/02/03/138004.shtml
Chongqing|312|2|23 serious, 6 critical|http://wsjkw.cq.gov.cn/tzgg/20200203/251045.html
Jiangsu|271|0|2 serious|https://m.weibo.cn/status/4467801836657694
Sichuan|255*|1|9 critical|https://m.weibo.cn/status/4467802893277225
Shandong|259|0|15 serious, 2 critical|https://m.weibo.cn/status/4467902659095847
Beijing|212|1|11 critical|http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200203_1624239.html
Shanghai|203|1|7 serious, 6 critical|https://m.weibo.cn/status/4467878755673605
Fujian|179|0|13 serious, 7 critical|http://headline.fjtv.net/folder875/2020-02-03/2163617.html
Shaanxi|128|0|1+ serious|http://sxwjw.shaanxi.gov.cn/art/2020/2/3/art_9_67666.html
Guangxi|127|0|5 serious, 3 critical|http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0203/68251.html
Yunnan|114|0|7 serious, 3 critical|https://m.weibo.cn/status/4467911324556064
Hebei|113|1|12 serious|http://www.hebwst.gov.cn/index.do?id=396405&amp;templet=content&amp;cid=14
Heilongjiang|118|2|15 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7755/navid/42/stypeid/
Liaoning|73|0|6 serious|https://m.weibo.cn/status/4467849764491182
Hainan|71|1|10 serious|https://mp.weixin.qq.com/s/uC_QK6ehNGh4RkeJuQyfjA
Shanxi|66|0|5 serious|http://wjw.shanxi.gov.cn/wjywl02/24631.hrh
Tianjin|56|0|15 serious, 3 critical|https://m.weibo.cn/detail/4467866273237239
Gansu|51|0|4 serious, 1 critical|http://www.bjnews.com.cn/feature/2020/02/03/683393.html
Guizhou|46|0|6 serious, 4 critical|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448823&amp;idx=1&amp;sn=e5eddb5534ca6d1b46526c07b8fd4084&amp;chksm=bd53ce4a8a24475c1f53b43d8bcf53495b49c4e8f89293a2d1a1f6809a381c2eeb538f9c6889&amp;token=1961214161&amp;lang=zh_CN#rd
Ningxia|31|0|4 serious|http://wsjkw.nx.gov.cn/info/1140/13412.htm
Inner Mongolia|34|0|1+ serious|http://wjw.nmg.gov.cn/doc/2020/02/03/287405.shtml
Jilin|31|0|4 serious, 1 critical|https://m.weibo.cn/status/4467797520329383
Xinjiang|24|0|6 serious, 2 critical|http://www.xjhfpc.gov.cn/info/1495/17952.htm
Qinghai|13|0|1 serious, 7 stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/02/03/1580692540948.html
Tibet|1|0|Stable|http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
CHINA TOTAL|17,300|361|2,296 serious, 475 recovered, 21,558 suspected|
Hong Kong|15|0||https://www.info.gov.hk/gia/general/202002/02/P2020020200627.htm
Taiwan|10|0||https://www.mohw.gov.tw/cp-4636-51263-1.html
Macau|8|0||https://news.gov.mo/detail/zh-hant/N20BBaGyMz;jsessionid=0D60BE8F971A9AF94452A61990D0B88B.app03?0
GREATER CHINA TOTAL|33|0|0 serious|
Japan|20*|0||https://www.mhlw.go.jp/stf/newpage_09278.html
Thailand|19|0|7 recovered|https://www.bbc.com/thai/amp/thailand-51321489
Singapore|18|0|All stable|https://bnonews.com/wp-content/uploads/2020/02/212020case.pdf
South Korea|15|0||https://www.yna.co.kr/view/AKR20200202000700017
Australia|12||2 recovered|https://www.abc.net.au/news/2020-02-01/coronavirus-confirmed-in-south-australia-and-victoria/11920754
Germany|10|0||https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Gemeinsame%20Pressemitteilung%20der%20Luftwaffe,%20dem%20Deutschem%20Roten%20Kreuz,%20dem%20Landkreis%20und%20der%20Stadt%20Germersheim/
Malaysia|8|0|Stable|https://kpkesihatan.com/2020/01/30/kenyataan-akhbar-kpk-30-januari-2020-situasi-terkini-jangkitan-2019-novel-coronavirus-2019-ncov-di-malaysia/
United States|11|0||https://bnonews.com/wp-content/uploads/2020/02/222020Case.pdf
Vietnam|8|0|1 recovered|https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-ghi-nhan-ca-thu-8-nhiem-virus-corona-613293.html
France|6|0|2 serious|https://www.france24.com/en/20200130-france-confirms-sixth-case-of-coronavirus-infection-health-official-says
UAE|5|0|Stable|https://www.wam.ae/en/details/1395302820367
Canada|4|0||https://news.ontario.ca/mohltc/en/2020/01/ontario-confirms-third-case-of-2019-novel-coronavirus.html
England|2|0||https://www.gov.uk/government/news/cmo-confirms-cases-of-coronavirus-in-england
Russia|2|0||https://tass.ru/obschestvo/7656549
Philippines|2|1||https://twitter.com/WHOPhilippines/status/1223797298477424641
India|3|0|Stable|https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy|2|0||http://www.rainews.it/dl/rainews/articoli/Conte-due-casi-di-coronavirus-accertati-in-Italia-60b4294a-3a3f-4b05-ad1f-b096d1c60110.html
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0|1 recovered|https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Finland|1|0||https://www.hs.fi/kotimaa/art-2000006387778.html
Sweden|1|0||https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
Spain|1|0||https://www.antena3.com/noticias/sociedad/confirmado-caso-coronavirus-gomera_202001315e34a9380cf2cfb788f47b07.html
INTERNATIONAL TOTAL|153|1|2 serious|
