# source: BNO @ https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/
# update: 2020-01-29 18:40:00 ET
# place|confirmed_cases|deaths|notes|sources
Hubei|4,586|162|711 serious, 277 critical|http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200130_2016304.shtml
Guangdong|272|0||http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2880075.html
Zhejiang|296|0|42 serious|https://www.zjwjw.gov.cn/art/2020/1/29/art_1202101_41859793.html
Chongqing|165|0|18 serious, 4 critical|http://wsjkw.cq.gov.cn/tzgg/20200130/250440.html
Hunan|221|0|38 serious|http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202001/t20200129_11165442.html
Anhui|152|0||http://wjw.ah.gov.cn/news_details_54053.html
Beijing|111|1|14 serious, 2 critical|https://m.weibo.cn/detail/4466208768495895
Shanghai|96|1|3 critical|https://m.weibo.cn/status/4466081856695224
Henan|206|2|32 serious, 2 critical|https://m.weibo.cn/status/4465983828203114
Sichuan|108|0|3 critical|https://m.weibo.cn/detail/4465991905970626
Shandong|130|0||https://m.weibo.cn/status/4466081307945859
Guangxi|58|0|5 serious|https://m.weibo.cn/status/4465980917031661
Jiangxi|162|0|16 serious|http://hc.jiangxi.gov.cn/doc/2020/01/30/137811.shtml
Fujian|84|0|12 serious, 2 critical|http://www.bjnews.com.cn/news/2020/01/29/681269.html
Jiangsu|99|0|1 serious|https://m.weibo.cn/detail/4465989963684810
Hainan|43|1|9 serious|http://wst.hainan.gov.cn/swjw/rdzt/yqfk/202001/t20200129_2741607.html
Liaoning|39|0|8 serious|https://m.weibo.cn/status/4466148882434633
Tianjin|27|0|17 serious|https://m.weibo.cn/detail/4466053499059459
Shaanxi|56|0||http://sxwjw.shaanxi.gov.cn/art/2020/1/29/art_9_67531.html
Yunnan|55|0|5 serious, 1 critical|https://m.weibo.cn/detail/4466113595622763
Heilongjiang|37|1|4 serious|http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7746/navid/42/stypeid/
Guizhou|9|0|1 serious|https://mp.weixin.qq.com/s?__biz=MjM5MTg5OTM0Ng==&amp;mid=2651448627&amp;idx=1&amp;sn=e26391f0e764bfd4fc2a9a1bc15502ff&amp;chksm=bd53ce8e8a2447985560b9a62b2a5f567693ac25032b0209cc489c49d91862fd480e4664094e&amp;token=566312186&amp;lang=zh_CN#rd
Jilin|9|0||https://m.weibo.cn/status/4465996100562383
Xinjiang|13|0|4 serious|http://www.xjhfpc.gov.cn/info/1495/17597.htm
Ningxia|12|0||https://m.weibo.cn/status/4466017931753117
Hebei|48|1|4 serious|http://www.bjnews.com.cn/news/2020/01/29/681094.html
Gansu|24|0|3 serious|http://www.bjnews.com.cn/feature/2020/01/29/681098.html
Shanxi|35|0|3 serious, 2 critical|http://wjw.shanxi.gov.cn/wjywl02/24458.hrh
Inner Mongolia|16|0|1 serious, 1 critical|http://wjw.nmg.gov.cn/doc/2020/01/29/285296.shtml
Qinghai|6|0|All stable|https://wsjkw.qinghai.gov.cn/zhxw/xwzx/2020/01/27/1580130159651.html
CHINA TOTAL|7,711|169||
Hong Kong|8|0||https://www.info.gov.hk/gia/general/202001/27/P2020012700049.htm
Taiwan|8|0||https://www.cdc.gov.tw/Bulletin/Detail/-lN6bM-ZCU-nWv1gUIXxOg?typeid=9
Macau|7|0||https://www.tdm.com.mo/c_news/radio_news.php?id=452787
GREATER CHINA TOTAL|23|0||
Thailand|14|0||https://news.thaipbs.or.th/content/288389
Singapore|10|0|Stable|https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore
France|5|0|2 serious|https://www.bfmtv.com/sante/coronavirus-en-france-un-cinquieme-cas-confirme-la-fille-du-touriste-chinois-hospitalise-a-paris-1849280.html
Malaysia|7|0|Stable|https://kpkesihatan.com/2020/01/29/kenyataan-akhbar-kpk-29-januari-2020-situasi-terkini-jangkitan-2019-ncov-di-malaysia-dan-kesiapsiagaan-kkm-menghadapi-penularannya/
Japan|8|0||https://www.mhlw.go.jp/stf/newpage_09201.html
South Korea|4|0||https://en.yna.co.kr/view/AEN20200127002400320?section=science/medicine
United States|5|0||https://www.azdhs.gov/director/public-information-office/index.php#news-release-012620
Vietnam|2|0|Stable|https://www.moh.gov.vn/web/guest/tin-noi-bat/-/asset_publisher/hwUjUacn23Hf/content/hai-ca-duong-tinh-ncov-ang-ieu-tri-tai-bv-cho-ray
Nepal|1|0||https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Australia|7|0|Stable|https://bnonews.com/wp-content/uploads/2020/01/1292020QueenslandCase.png
Canada|3|0||http://www.bccdc.ca/about/news-stories/stories/2020/information-on-novel-coronavirus
Cambodia|1|0||https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka|1|0||https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
Germany|4|0||https://www.stmgp.bayern.de/presse/drei-weitere-coronavirus-faelle-in-bayern-zusammenhang-mit-dem-ersten-fall-bayerns/
UAE|4|0|Stable|https://www.wam.ae/en/details/1395302819592
Finland|1|0||https://www.hs.fi/kotimaa/art-2000006387778.html
INTERNATIONAL TOTAL|77|0||
