# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-10 16:42:42 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67760|3024||
Beijing|429|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Guangdong|1353|8|深圳：确诊病例含2例境外输入病例；东莞：确诊病例含1例境外输入病例|
Sichuan|539|3||
Hong Kong|115|3||
Heilongjiang|481|13||
Gansu|124|2||
Shandong|758|6||
Taiwan|47|1||
Chongqing|576|6||
Zhejiang|1215|1|丽水：确诊病例含 8 例境外输入病例；湖州：确诊病例含 2例境外输入病例。浙江：累计治愈病例不含外省治愈病例 12 例（杭州市）。|
Hunan|1018|4||
Shanghai|344|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Shaanxi|245|1||
Guangxi|252|2||
Guizhou|146|2||
Liaoning|125|1||
Jiangxi|935|1||
Shanxi|133|0||
Hebei|318|6||
Ningxia|75|0||
Jiangsu|631|0||
Inner Mongolia|75|1||
Hainan|168|6||
Tianjin|136|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Henan|1272|22||
Yunnan|174|2||
Jilin|93|1||
Anhui|990|6||
Macau|10|0||
Fujian|296|1||
Xinjiang|76|3||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|80928|3140||
