# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-02 09:29:18 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67103|2803||
Guangdong|1350|7|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Shandong|758|6||
Sichuan|538|3||
Zhejiang|1205|1||
Hunan|1018|4||
Beijing|413|8|部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Chongqing|576|6||
Heilongjiang|480|13||
Anhui|990|6||
Jiangsu|631|0||
Jiangxi|935|1||
Guangxi|252|2||
Hong Kong|98|2||
Fujian|296|1|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Henan|1272|22|部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Shanghai|337|3|部分死亡病例省级卫健委未明确市区归属。因此上海市现存确诊≠下辖分区现存确诊之和。|
Shaanxi|245|1|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Guizhou|146|2||
Taiwan|40|1||
Inner Mongolia|75|0||
Tianjin|136|3||
Liaoning|122|1|部分治愈病例尚未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Hebei|318|6||
Shanxi|133|0||
Hainan|168|5||
Jilin|93|1||
Yunnan|174|2||
Xinjiang|76|3||
Ningxia|74|0||
Gansu|91|2||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|80172|2915||
