# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-14 16:23:28 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67790|3075||
Beijing|437|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Hong Kong|137|4||
Guangdong|1356|8|深圳：确诊病例含3例境外输入病例；东莞：确诊病例含1例境外输入病例；中山：确诊病例含2例境外输入病例|
Gansu|129|2||
Taiwan|53|1||
Sichuan|539|3||
Shanghai|352|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Heilongjiang|482|13||
Zhejiang|1227|1|2月10日通报核减的12例在浙江省治愈的外省病例，根据国家最新要求重新纳入累计病例。|
Shandong|760|7||
Shaanxi|245|2||
Liaoning|125|1||
Guangxi|252|2||
Chongqing|576|6||
Ningxia|75|0||
Inner Mongolia|75|1||
Henan|1273|22||
Hebei|318|6||
Yunnan|174|2||
Hainan|168|6||
Jiangsu|631|0||
Guizhou|146|2||
Tianjin|136|3||
Jilin|93|1||
Hunan|1018|4||
Anhui|990|6||
Jiangxi|935|1||
Fujian|296|1||
Shanxi|133|0||
Xinjiang|76|3||
Qinghai|18|0||
Macau|10|0||
Tibet|1|0||
CHINA TOTAL|81026|3194||
