# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-01 17:38:27 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|66907|2761||
Guangdong|1349|7|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Shandong|758|6||
Sichuan|538|3||
Zhejiang|1205|1||
Hunan|1018|4||
Heilongjiang|480|13||
Beijing|413|8|部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Chongqing|576|6||
Anhui|990|6||
Jiangxi|935|1||
Jiangsu|631|0||
Guangxi|252|2||
Henan|1272|22|部分治愈和死亡病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Hong Kong|95|2||
Fujian|296|1|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Shanghai|337|3|部分死亡病例省级卫健委未明确市区归属。因此上海市现存确诊≠下辖分区现存确诊之和。|
Shaanxi|245|1|部分治愈病例省级卫健委未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Guizhou|146|2||
Taiwan|40|1||
Tianjin|136|3||
Inner Mongolia|75|0||
Hebei|318|6||
Liaoning|122|1|部分治愈病例尚未明确市区归属。因此省份现存确诊≠下辖市区现存确诊之和。|
Shanxi|133|0||
Hainan|168|5||
Jilin|93|1||
Xinjiang|76|3||
Yunnan|174|2||
Gansu|91|2||
Ningxia|73|0||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|79971|2873||
