# source: DXY @ https://3g.dxy.cn/newh5/view/pneumonia
# update: 2020-03-07 08:46:24 CST
# place|confirmed_cases|deaths|notes|sources
Hubei|67666|2959||
Guangdong|1352|7|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Shandong|758|6||
Beijing|422|8|北京卫健委未明确大部分治愈与死亡病例的分区归属，因此北京市下辖分区的现存确诊暂无法获取。|
Sichuan|539|3||
Zhejiang|1215|1|丽水：确诊病例含 8 例境外输入病例；湖州：确诊病例含 2例境外输入病例。浙江：累计治愈病例不含外省治愈病例 12 例（杭州市）。|
Heilongjiang|481|13||
Hunan|1018|4||
Hong Kong|107|2||
Chongqing|576|6||
Jiangsu|631|0||
Shanghai|342|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Taiwan|45|1||
Guangxi|252|2||
Gansu|119|2||
Guizhou|146|2||
Jiangxi|935|1||
Liaoning|125|1||
Shaanxi|245|1||
Fujian|296|1||
Inner Mongolia|75|1||
Shanxi|133|0||
Hebei|318|6||
Henan|1272|22|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Anhui|990|6||
Tianjin|136|3|部分治愈或死亡病例省级卫健委未明确其市区归属，归入待明确地区。|
Hainan|168|6||
Ningxia|75|0||
Yunnan|174|2||
Jilin|93|1||
Xinjiang|76|3||
Macau|10|0||
Qinghai|18|0||
Tibet|1|0||
CHINA TOTAL|80809|3073||
